Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run11
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=264.86s] Completed batch 19 (duration: 71.77s, status: 200)
[t=271.10s] Sending batch 25 (scheduled: 271.10s, size: 2)
[t=277.52s] Completed batch 11 (duration: 161.39s, status: 200)
[t=286.37s] Sending batch 26 (scheduled: 286.36s, size: 6)
[t=292.84s] Completed batch 5 (duration: 224.56s, status: 200)
[t=292.88s] Sending batch 27 (scheduled: 292.88s, size: 5)
[t=305.58s] Completed batch 25 (duration: 34.48s, status: 200)
[t=312.98s] Completed batch 17 (duration: 137.34s, status: 200)
[t=315.16s] Sending batch 28 (scheduled: 315.15s, size: 2)
[t=324.77s] Completed batch 10 (duration: 213.64s, status: 200)
[t=326.39s] Completed batch 21 (duration: 116.19s, status: 200)
[t=351.38s] Sending batch 29 (scheduled: 351.36s, size: 1)
[t=351.91s] Sending batch 30 (scheduled: 351.91s, size: 7)
[t=356.89s] Sending batch 31 (scheduled: 356.89s, size: 6)
[t=393.34s] Completed batch 20 (duration: 189.20s, status: 200)
[t=396.46s] Completed batch 27 (duration: 103.58s, status: 200)
[t=402.04s] Completed batch 24 (duration: 140.37s, status: 200)
[t=410.34s] Sending batch 32 (scheduled: 410.34s, size: 3)
[t=411.23s] Sending batch 33 (scheduled: 411.23s, size: 4)
[t=417.24s] Sending batch 34 (scheduled: 417.23s, size: 5)
[t=424.56s] Sending batch 35 (scheduled: 424.55s, size: 1)
[t=436.90s] Sending batch 36 (scheduled: 436.89s, size: 3)
[t=444.43s] Completed batch 13 (duration: 296.18s, status: 200)
[t=447.13s] Completed batch 18 (duration: 263.29s, status: 200)
[t=452.31s] Completed batch 35 (duration: 27.75s, status: 200)
[t=452.64s] Completed batch 28 (duration: 137.48s, status: 200)
[t=460.27s] Sending batch 37 (scheduled: 460.26s, size: 4)
[t=461.90s] Completed batch 30 (duration: 109.99s, status: 200)
[t=465.14s] Sending batch 38 (scheduled: 465.14s, size: 4)
[t=467.30s] Sending batch 39 (scheduled: 467.30s, size: 5)
[t=478.17s] Completed batch 23 (duration: 226.86s, status: 200)
[t=487.65s] Completed batch 34 (duration: 70.41s, status: 200)
[t=488.06s] Sending batch 40 (scheduled: 488.06s, size: 3)
[t=503.53s] Sending batch 41 (scheduled: 503.53s, size: 2)
[t=524.12s] Completed batch 31 (duration: 167.23s, status: 200)
[t=534.78s] Completed batch 39 (duration: 67.48s, status: 200)
[t=540.06s] Sending batch 42 (scheduled: 540.06s, size: 4)
[t=543.41s] Completed batch 36 (duration: 106.51s, status: 200)
[t=551.96s] Completed batch 26 (duration: 265.60s, status: 200)
[t=557.77s] Completed batch 29 (duration: 206.39s, status: 200)
[t=561.17s] Completed batch 37 (duration: 100.90s, status: 200)
[t=565.69s] Sending batch 43 (scheduled: 565.68s, size: 3)
[t=567.15s] Completed batch 40 (duration: 79.09s, status: 200)
[t=571.47s] Completed batch 38 (duration: 106.32s, status: 200)
[t=591.00s] Sending batch 44 (scheduled: 591.00s, size: 8)
[t=599.83s] Sending batch 45 (scheduled: 599.82s, size: 3)
[t=605.80s] Completed batch 41 (duration: 102.27s, status: 200)
[t=609.58s] Completed batch 42 (duration: 69.52s, status: 200)
[t=612.86s] Completed batch 43 (duration: 47.17s, status: 200)
[t=624.19s] Sending batch 46 (scheduled: 624.19s, size: 2)
[t=624.23s] Sending batch 47 (scheduled: 624.22s, size: 2)
[t=641.11s] Completed batch 46 (duration: 16.92s, status: 200)
[t=651.55s] Sending batch 48 (scheduled: 651.54s, size: 1)
[t=653.82s] Sending batch 49 (scheduled: 653.82s, size: 1)
[t=655.30s] Completed batch 33 (duration: 244.07s, status: 200)
[t=670.68s] Sending batch 50 (scheduled: 670.66s, size: 3)
[t=676.33s] Completed batch 32 (duration: 265.99s, status: 200)
[t=677.08s] Completed batch 49 (duration: 23.25s, status: 200)
[t=678.03s] Sending batch 51 (scheduled: 678.03s, size: 4)
[t=684.97s] Sending batch 52 (scheduled: 684.97s, size: 2)
[t=694.65s] Completed batch 44 (duration: 103.65s, status: 200)
[t=695.28s] Completed batch 47 (duration: 71.05s, status: 200)
[t=699.71s] Sending batch 53 (scheduled: 699.70s, size: 2)
