Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: batch_results_sample_py
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=238.22s] Completed batch 4 (duration: 184.30s, status: 200)
[t=250.83s] Completed batch 21 (duration: 40.63s, status: 200)
[t=251.31s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=261.68s] Sending batch 24 (scheduled: 261.67s, size: 2)
[t=271.10s] Sending batch 25 (scheduled: 271.10s, size: 2)
[t=280.21s] Completed batch 5 (duration: 211.92s, status: 200)
[t=284.87s] Completed batch 25 (duration: 13.77s, status: 200)
[t=286.36s] Sending batch 26 (scheduled: 286.36s, size: 6)
[t=292.89s] Sending batch 27 (scheduled: 292.88s, size: 5)
[t=297.96s] Completed batch 11 (duration: 181.83s, status: 200)
[t=313.79s] Completed batch 17 (duration: 138.16s, status: 200)
[t=315.16s] Sending batch 28 (scheduled: 315.15s, size: 2)
[t=333.01s] Completed batch 26 (duration: 46.64s, status: 200)
[t=346.12s] ERROR batch 3: 500, message='Attempt to decode JSON with unexpected mimetype: ', url='https://unturned3--yusenh-1-modalcontainer-completions.modal.run/?__modal_function_call_id=fc-01KBS5E4FH50NDY9MFNXXES5B8'
[t=348.31s] Completed batch 28 (duration: 33.15s, status: 200)
[t=350.78s] Completed batch 20 (duration: 146.65s, status: 200)
[t=351.36s] Sending batch 29 (scheduled: 351.36s, size: 1)
[t=351.91s] Sending batch 30 (scheduled: 351.91s, size: 7)
[t=354.65s] Completed batch 13 (duration: 206.41s, status: 200)
[t=356.89s] Sending batch 31 (scheduled: 356.89s, size: 6)
[t=373.92s] Completed batch 24 (duration: 112.25s, status: 200)
[t=380.04s] Completed batch 27 (duration: 87.15s, status: 200)
[t=394.04s] Completed batch 31 (duration: 37.15s, status: 200)
[t=394.18s] Completed batch 29 (duration: 42.82s, status: 200)
[t=399.82s] Completed batch 18 (duration: 215.98s, status: 200)
[t=410.27s] Completed batch 30 (duration: 58.36s, status: 200)
[t=410.34s] Sending batch 32 (scheduled: 410.34s, size: 3)
[t=411.23s] Sending batch 33 (scheduled: 411.23s, size: 4)
[t=417.24s] Sending batch 34 (scheduled: 417.23s, size: 5)
[t=424.56s] Sending batch 35 (scheduled: 424.55s, size: 1)
[t=434.74s] Completed batch 35 (duration: 10.18s, status: 200)
[t=436.90s] Sending batch 36 (scheduled: 436.89s, size: 3)
[t=438.17s] Completed batch 23 (duration: 186.86s, status: 200)
[t=448.15s] Completed batch 34 (duration: 30.91s, status: 200)
[t=460.27s] Sending batch 37 (scheduled: 460.26s, size: 4)
[t=465.14s] Sending batch 38 (scheduled: 465.14s, size: 4)
[t=467.30s] Sending batch 39 (scheduled: 467.30s, size: 5)
[t=488.08s] Sending batch 40 (scheduled: 488.06s, size: 3)
[t=503.54s] Sending batch 41 (scheduled: 503.53s, size: 2)
[t=512.74s] Completed batch 39 (duration: 45.44s, status: 200)
[t=515.57s] Completed batch 36 (duration: 78.67s, status: 200)
[t=540.08s] Sending batch 42 (scheduled: 540.06s, size: 4)
[t=544.33s] Completed batch 42 (duration: 4.25s, status: 200)
[t=548.42s] Completed batch 32 (duration: 138.08s, status: 200)
[t=565.69s] Sending batch 43 (scheduled: 565.68s, size: 3)
[t=571.40s] Completed batch 40 (duration: 83.32s, status: 200)
[t=591.00s] Sending batch 44 (scheduled: 591.00s, size: 8)
[t=593.41s] Completed batch 37 (duration: 133.14s, status: 200)
[t=595.60s] Completed batch 43 (duration: 29.92s, status: 200)
[t=598.00s] Completed batch 38 (duration: 132.86s, status: 200)
[t=599.82s] Sending batch 45 (scheduled: 599.82s, size: 3)
[t=624.20s] Sending batch 46 (scheduled: 624.19s, size: 2)
[t=624.23s] Sending batch 47 (scheduled: 624.22s, size: 2)
[t=648.23s] Completed batch 33 (duration: 237.00s, status: 200)
[t=651.54s] Sending batch 48 (scheduled: 651.54s, size: 1)
[t=653.82s] Sending batch 49 (scheduled: 653.82s, size: 1)
[t=660.28s] Completed batch 46 (duration: 36.07s, status: 200)
[t=670.67s] Sending batch 50 (scheduled: 670.66s, size: 3)
[t=671.89s] Completed batch 49 (duration: 18.07s, status: 200)
[t=678.04s] Sending batch 51 (scheduled: 678.03s, size: 4)
[t=684.97s] Sending batch 52 (scheduled: 684.97s, size: 2)
[t=696.35s] Completed batch 47 (duration: 72.13s, status: 200)
[t=699.71s] Sending batch 53 (scheduled: 699.70s, size: 2)
[t=717.82s] Completed batch 51 (duration: 39.78s, status: 200)
[t=717.84s] Completed batch 52 (duration: 32.87s, status: 200)
[t=724.14s] Sending batch 54 (scheduled: 724.14s, size: 5)
[t=730.82s] Sending batch 55 (scheduled: 730.81s, size: 2)
[t=732.36s] Completed batch 45 (duration: 132.54s, status: 200)
[t=740.96s] Sending batch 56 (scheduled: 740.95s, size: 3)
[t=750.18s] Sending batch 57 (scheduled: 750.18s, size: 4)
[t=754.01s] Sending batch 58 (scheduled: 754.01s, size: 1)
[t=757.18s] Sending batch 59 (scheduled: 757.17s, size: 4)
[t=762.90s] Sending batch 60 (scheduled: 762.89s, size: 2)
[t=774.36s] Sending batch 61 (scheduled: 774.35s, size: 5)
[t=789.80s] Completed batch 60 (duration: 26.89s, status: 200)
[t=791.42s] Sending batch 62 (scheduled: 791.42s, size: 2)
[t=793.48s] Sending batch 63 (scheduled: 793.48s, size: 3)
[t=797.78s] Completed batch 41 (duration: 294.24s, status: 200)
[t=800.29s] Completed batch 63 (duration: 6.81s, status: 200)
[t=803.36s] Sending batch 64 (scheduled: 803.36s, size: 3)
[t=806.72s] Completed batch 57 (duration: 56.53s, status: 200)
[t=808.57s] Completed batch 61 (duration: 34.20s, status: 200)
[t=809.69s] Sending batch 65 (scheduled: 809.69s, size: 3)
[t=821.55s] Sending batch 66 (scheduled: 821.55s, size: 2)
[t=828.64s] Completed batch 64 (duration: 25.28s, status: 200)
[t=835.49s] Completed batch 66 (duration: 13.94s, status: 200)
[t=835.66s] Sending batch 67 (scheduled: 835.66s, size: 1)
[t=837.77s] Completed batch 67 (duration: 2.12s, status: 200)
[t=841.63s] Sending batch 68 (scheduled: 841.63s, size: 4)
[t=846.61s] Sending batch 69 (scheduled: 846.60s, size: 4)
[t=849.18s] Sending batch 70 (scheduled: 849.18s, size: 1)
[t=850.83s] Completed batch 70 (duration: 1.65s, status: 200)
[t=853.26s] Sending batch 71 (scheduled: 853.26s, size: 6)
[t=867.89s] Sending batch 72 (scheduled: 867.87s, size: 1)
[t=867.97s] Sending batch 73 (scheduled: 867.97s, size: 5)
[t=869.77s] Completed batch 72 (duration: 1.88s, status: 200)
[t=870.14s] Sending batch 74 (scheduled: 870.14s, size: 2)
[t=886.59s] Sending batch 75 (scheduled: 886.59s, size: 1)
[t=888.21s] Completed batch 75 (duration: 1.62s, status: 200)
[t=890.98s] Completed batch 44 (duration: 299.98s, status: 200)
[t=891.41s] Completed batch 48 (duration: 239.87s, status: 200)
[t=893.06s] Completed batch 59 (duration: 135.88s, status: 200)
[t=907.29s] Sending batch 76 (scheduled: 907.28s, size: 3)
[t=911.21s] Sending batch 77 (scheduled: 911.21s, size: 5)
[t=912.89s] Completed batch 58 (duration: 158.87s, status: 200)
[t=922.57s] Completed batch 53 (duration: 222.86s, status: 200)
[t=931.64s] Sending batch 78 (scheduled: 931.63s, size: 5)
[t=933.32s] Completed batch 69 (duration: 86.71s, status: 200)
[t=936.49s] Completed batch 77 (duration: 25.28s, status: 200)
[t=938.71s] Completed batch 54 (duration: 214.57s, status: 200)
[t=939.39s] Sending batch 79 (scheduled: 939.39s, size: 2)
[t=942.04s] Completed batch 50 (duration: 271.36s, status: 200)
[t=942.27s] Completed batch 56 (duration: 201.31s, status: 200)
[t=944.89s] Completed batch 74 (duration: 74.74s, status: 200)
[t=946.14s] Completed batch 65 (duration: 136.44s, status: 200)
[t=946.94s] Completed batch 73 (duration: 78.97s, status: 200)
[t=953.03s] Sending batch 80 (scheduled: 953.02s, size: 1)
[t=956.34s] Completed batch 62 (duration: 164.92s, status: 200)
[t=960.06s] Completed batch 79 (duration: 20.66s, status: 200)
[t=960.16s] Completed batch 76 (duration: 52.87s, status: 200)
[t=961.27s] Completed batch 55 (duration: 230.46s, status: 200)
[t=969.51s] Completed batch 78 (duration: 37.87s, status: 200)
[t=982.53s] Sending batch 81 (scheduled: 982.51s, size: 3)
[t=987.67s] Sending batch 82 (scheduled: 987.66s, size: 5)
[t=995.02s] Sending batch 83 (scheduled: 995.01s, size: 4)
[t=1004.03s] Completed batch 81 (duration: 21.50s, status: 200)
[t=1010.87s] Completed batch 80 (duration: 57.84s, status: 200)
[t=1015.25s] Completed batch 82 (duration: 27.58s, status: 200)
[t=1017.05s] Sending batch 84 (scheduled: 1017.05s, size: 3)
[t=1021.23s] Completed batch 71 (duration: 167.97s, status: 200)
[t=1024.98s] Sending batch 85 (scheduled: 1024.98s, size: 4)
[t=1026.92s] Completed batch 68 (duration: 185.29s, status: 200)
[t=1039.05s] Sending batch 86 (scheduled: 1039.04s, size: 4)
[t=1040.34s] Sending batch 87 (scheduled: 1040.34s, size: 1)
[t=1041.24s] Completed batch 83 (duration: 46.22s, status: 200)
[t=1050.72s] Completed batch 84 (duration: 33.67s, status: 200)
[t=1061.82s] Completed batch 86 (duration: 22.77s, status: 200)
[t=1065.66s] Completed batch 87 (duration: 25.31s, status: 200)
[t=1080.15s] Sending batch 88 (scheduled: 1080.14s, size: 1)
[t=1096.11s] Sending batch 89 (scheduled: 1096.10s, size: 2)
[t=1097.81s] Completed batch 89 (duration: 1.69s, status: 200)
[t=1103.12s] Completed batch 88 (duration: 22.97s, status: 200)
[t=1107.20s] Sending batch 90 (scheduled: 1107.20s, size: 3)
[t=1114.01s] Sending batch 91 (scheduled: 1114.01s, size: 3)
[t=1114.97s] Sending batch 92 (scheduled: 1114.97s, size: 4)
[t=1118.79s] Sending batch 93 (scheduled: 1118.79s, size: 3)
[t=1139.30s] Sending batch 94 (scheduled: 1139.29s, size: 2)
[t=1140.07s] Sending batch 95 (scheduled: 1140.07s, size: 1)
[t=1141.66s] Completed batch 85 (duration: 116.68s, status: 200)
[t=1141.76s] Completed batch 95 (duration: 1.69s, status: 200)
[t=1144.34s] Sending batch 96 (scheduled: 1144.34s, size: 5)
[t=1148.17s] Completed batch 91 (duration: 34.16s, status: 200)
[t=1151.39s] Completed batch 93 (duration: 32.60s, status: 200)
[t=1151.66s] Sending batch 97 (scheduled: 1151.66s, size: 3)
[t=1166.11s] Completed batch 92 (duration: 51.14s, status: 200)
[t=1169.83s] Completed batch 94 (duration: 30.54s, status: 200)
[t=1204.03s] Completed batch 90 (duration: 96.83s, status: 200)
[t=1222.11s] Completed batch 96 (duration: 77.77s, status: 200)
[t=1342.80s] Completed batch 97 (duration: 191.14s, status: 200)

============================================================
Simulation complete!
Total time: 1342.80s (scheduled: 1151.66s)
Successful: 97/98
Failed: 1/98
Summary saved to: batch_results_sample_py/simulation_summary.json
============================================================
