Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run15
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=292.89s] Sending batch 27 (scheduled: 292.88s, size: 5)
[t=299.59s] Completed batch 17 (duration: 123.96s, status: 200)
[t=301.33s] Completed batch 25 (duration: 30.23s, status: 200)
[t=310.32s] Completed batch 1 (duration: 296.75s, status: 200)
[t=315.16s] Sending batch 28 (scheduled: 315.15s, size: 2)
[t=320.94s] Completed batch 11 (duration: 204.80s, status: 200)
[t=338.92s] Completed batch 3 (duration: 292.91s, status: 200)
[t=351.37s] Sending batch 29 (scheduled: 351.36s, size: 1)
[t=351.91s] Sending batch 30 (scheduled: 351.91s, size: 7)
[t=356.89s] Sending batch 31 (scheduled: 356.89s, size: 6)
[t=389.26s] Completed batch 20 (duration: 185.13s, status: 200)
[t=398.06s] Completed batch 24 (duration: 136.40s, status: 200)
[t=400.29s] Completed batch 27 (duration: 107.40s, status: 200)
[t=403.28s] Completed batch 5 (duration: 335.00s, status: 200)
[t=410.35s] Sending batch 32 (scheduled: 410.34s, size: 3)
[t=411.23s] Sending batch 33 (scheduled: 411.23s, size: 4)
[t=417.24s] Sending batch 34 (scheduled: 417.23s, size: 5)
[t=422.77s] Completed batch 10 (duration: 311.64s, status: 200)
[t=424.55s] Sending batch 35 (scheduled: 424.55s, size: 1)
[t=425.85s] Completed batch 35 (duration: 1.30s, status: 200)
[t=436.90s] Sending batch 36 (scheduled: 436.89s, size: 3)
[t=451.94s] Completed batch 18 (duration: 268.10s, status: 200)
[t=460.27s] Sending batch 37 (scheduled: 460.26s, size: 4)
[t=463.86s] Completed batch 28 (duration: 148.70s, status: 200)
[t=465.14s] Sending batch 38 (scheduled: 465.14s, size: 4)
[t=467.30s] Sending batch 39 (scheduled: 467.30s, size: 5)
[t=486.98s] Completed batch 30 (duration: 135.08s, status: 200)
[t=488.06s] Sending batch 40 (scheduled: 488.06s, size: 3)
[t=497.17s] Completed batch 23 (duration: 245.85s, status: 200)
[t=498.15s] Completed batch 13 (duration: 349.88s, status: 200)
[t=503.53s] Sending batch 41 (scheduled: 503.53s, size: 2)
[t=512.93s] Completed batch 34 (duration: 95.69s, status: 200)
[t=525.96s] Completed batch 39 (duration: 58.66s, status: 200)
[t=540.07s] Sending batch 42 (scheduled: 540.06s, size: 4)
[t=547.70s] Completed batch 42 (duration: 7.63s, status: 200)
[t=565.69s] Sending batch 43 (scheduled: 565.68s, size: 3)
[t=574.46s] Completed batch 31 (duration: 217.57s, status: 200)
[t=591.00s] Sending batch 44 (scheduled: 591.00s, size: 8)
[t=599.83s] Sending batch 45 (scheduled: 599.82s, size: 3)
[t=608.14s] Completed batch 38 (duration: 143.00s, status: 200)
[t=611.60s] Completed batch 36 (duration: 174.71s, status: 200)
[t=621.60s] Completed batch 26 (duration: 335.24s, status: 200)
[t=624.19s] Sending batch 46 (scheduled: 624.19s, size: 2)
[t=624.23s] Sending batch 47 (scheduled: 624.22s, size: 2)
[t=627.55s] Completed batch 40 (duration: 139.48s, status: 200)
[t=633.19s] Completed batch 37 (duration: 172.92s, status: 200)
[t=633.86s] Completed batch 29 (duration: 282.49s, status: 200)
[t=650.57s] Completed batch 43 (duration: 84.89s, status: 200)
[t=650.82s] Completed batch 46 (duration: 26.63s, status: 200)
[t=651.54s] Sending batch 48 (scheduled: 651.54s, size: 1)
[t=653.82s] Sending batch 49 (scheduled: 653.82s, size: 1)
[t=670.68s] Sending batch 50 (scheduled: 670.66s, size: 3)
[t=675.94s] Completed batch 41 (duration: 172.41s, status: 200)
[t=678.03s] Sending batch 51 (scheduled: 678.03s, size: 4)
[t=684.97s] Sending batch 52 (scheduled: 684.97s, size: 2)
[t=691.75s] Completed batch 49 (duration: 37.93s, status: 200)
[t=699.71s] Sending batch 53 (scheduled: 699.70s, size: 2)
[t=724.15s] Sending batch 54 (scheduled: 724.14s, size: 5)
[t=730.81s] Sending batch 55 (scheduled: 730.81s, size: 2)
[t=740.96s] Sending batch 56 (scheduled: 740.95s, size: 3)
[t=750.18s] Sending batch 57 (scheduled: 750.18s, size: 4)
[t=754.01s] Sending batch 58 (scheduled: 754.01s, size: 1)
[t=757.17s] Sending batch 59 (scheduled: 757.17s, size: 4)
[t=762.41s] Completed batch 47 (duration: 138.18s, status: 200)
[t=762.89s] Sending batch 60 (scheduled: 762.89s, size: 2)
[t=774.36s] Sending batch 61 (scheduled: 774.35s, size: 5)
[t=779.64s] Completed batch 44 (duration: 188.64s, status: 200)
[t=789.24s] Completed batch 45 (duration: 189.41s, status: 200)
[t=791.42s] Sending batch 62 (scheduled: 791.42s, size: 2)
[t=793.48s] Sending batch 63 (scheduled: 793.48s, size: 3)
[t=803.36s] Sending batch 64 (scheduled: 803.36s, size: 3)
[t=809.70s] Sending batch 65 (scheduled: 809.69s, size: 3)
[t=819.64s] Completed batch 57 (duration: 69.45s, status: 200)
[t=821.55s] Sending batch 66 (scheduled: 821.55s, size: 2)
[t=825.19s] Completed batch 33 (duration: 413.96s, status: 200)
[t=827.62s] Completed batch 63 (duration: 34.14s, status: 200)
[t=835.66s] Sending batch 67 (scheduled: 835.66s, size: 1)
[t=836.59s] Completed batch 67 (duration: 0.93s, status: 200)
[t=841.64s] Sending batch 68 (scheduled: 841.63s, size: 4)
[t=846.23s] Completed batch 64 (duration: 42.87s, status: 200)
[t=846.60s] Sending batch 69 (scheduled: 846.60s, size: 4)
[t=849.18s] Sending batch 70 (scheduled: 849.18s, size: 1)
[t=852.93s] Completed batch 70 (duration: 3.74s, status: 200)
[t=853.26s] Sending batch 71 (scheduled: 853.26s, size: 6)
[t=862.57s] Completed batch 60 (duration: 99.67s, status: 200)
[t=867.02s] Completed batch 32 (duration: 456.67s, status: 200)
[t=867.87s] Sending batch 72 (scheduled: 867.87s, size: 1)
[t=867.97s] Sending batch 73 (scheduled: 867.97s, size: 5)
[t=868.73s] Completed batch 72 (duration: 0.86s, status: 200)
[t=870.15s] Sending batch 74 (scheduled: 870.14s, size: 2)
[t=886.59s] Sending batch 75 (scheduled: 886.59s, size: 1)
[t=887.69s] Completed batch 75 (duration: 1.10s, status: 200)
[t=905.58s] Completed batch 74 (duration: 35.43s, status: 200)
[t=907.28s] Sending batch 76 (scheduled: 907.28s, size: 3)
[t=911.22s] Sending batch 77 (scheduled: 911.21s, size: 5)
[t=919.35s] Completed batch 51 (duration: 241.32s, status: 200)
[t=931.64s] Sending batch 78 (scheduled: 931.63s, size: 5)
[t=935.35s] Completed batch 76 (duration: 28.07s, status: 200)
[t=939.40s] Sending batch 79 (scheduled: 939.39s, size: 2)
[t=940.34s] Completed batch 79 (duration: 0.94s, status: 200)
[t=943.93s] Completed batch 62 (duration: 152.51s, status: 200)
[t=953.02s] Sending batch 80 (scheduled: 953.02s, size: 1)
[t=954.43s] Completed batch 59 (duration: 197.25s, status: 200)
[t=975.18s] Completed batch 80 (duration: 22.15s, status: 200)
[t=975.18s] Completed batch 52 (duration: 290.20s, status: 200)
[t=982.52s] Sending batch 81 (scheduled: 982.51s, size: 3)
[t=987.67s] Sending batch 82 (scheduled: 987.66s, size: 5)
[t=995.02s] Sending batch 83 (scheduled: 995.01s, size: 4)
[t=1000.98s] Completed batch 58 (duration: 246.97s, status: 200)
[t=1007.32s] Completed batch 65 (duration: 197.62s, status: 200)
[t=1017.05s] Sending batch 84 (scheduled: 1017.05s, size: 3)
[t=1024.98s] Sending batch 85 (scheduled: 1024.98s, size: 4)
[t=1032.01s] Completed batch 73 (duration: 164.04s, status: 200)
[t=1032.26s] Completed batch 66 (duration: 210.71s, status: 200)
[t=1039.04s] Sending batch 86 (scheduled: 1039.04s, size: 4)
[t=1040.25s] Completed batch 69 (duration: 193.64s, status: 200)
[t=1040.34s] Sending batch 87 (scheduled: 1040.34s, size: 1)
[t=1080.14s] Sending batch 88 (scheduled: 1080.14s, size: 1)
[t=1095.61s] Completed batch 84 (duration: 78.55s, status: 200)
[t=1096.10s] Sending batch 89 (scheduled: 1096.10s, size: 2)
[t=1097.20s] Completed batch 89 (duration: 1.10s, status: 200)
[t=1099.46s] Completed batch 87 (duration: 59.12s, status: 200)
[t=1107.20s] Sending batch 90 (scheduled: 1107.20s, size: 3)
[t=1108.75s] Completed batch 48 (duration: 457.22s, status: 200)
[t=1110.15s] Completed batch 61 (duration: 335.79s, status: 200)
[t=1114.01s] Sending batch 91 (scheduled: 1114.01s, size: 3)
[t=1114.97s] Sending batch 92 (scheduled: 1114.97s, size: 4)
[t=1118.79s] Sending batch 93 (scheduled: 1118.79s, size: 3)
[t=1134.34s] Completed batch 53 (duration: 434.63s, status: 200)
[t=1139.29s] Sending batch 94 (scheduled: 1139.29s, size: 2)
[t=1140.07s] Sending batch 95 (scheduled: 1140.07s, size: 1)
[t=1141.01s] Completed batch 95 (duration: 0.94s, status: 200)
[t=1141.07s] Completed batch 78 (duration: 209.44s, status: 200)
[t=1144.34s] Sending batch 96 (scheduled: 1144.34s, size: 5)
[t=1151.66s] Sending batch 97 (scheduled: 1151.66s, size: 3)
[t=1151.81s] Completed batch 56 (duration: 410.85s, status: 200)
[t=1157.75s] Completed batch 86 (duration: 118.70s, status: 200)
[t=1170.86s] Completed batch 50 (duration: 500.18s, status: 200)
[t=1191.15s] Completed batch 88 (duration: 111.00s, status: 200)
[t=1192.06s] Completed batch 55 (duration: 461.24s, status: 200)
[t=1215.26s] Completed batch 93 (duration: 96.47s, status: 200)
[t=1218.26s] Completed batch 68 (duration: 376.62s, status: 200)
[t=1222.47s] Completed batch 54 (duration: 498.32s, status: 200)
[t=1226.68s] Completed batch 77 (duration: 315.46s, status: 200)
[t=1229.72s] Completed batch 92 (duration: 114.74s, status: 200)
[t=1273.10s] Completed batch 83 (duration: 278.09s, status: 200)
[t=1285.82s] Completed batch 81 (duration: 303.30s, status: 200)
[t=1286.77s] Completed batch 85 (duration: 261.79s, status: 200)
[t=1311.61s] Completed batch 82 (duration: 323.95s, status: 200)
[t=1339.74s] Completed batch 90 (duration: 232.53s, status: 200)
[t=1353.35s] Completed batch 71 (duration: 500.09s, status: 200)
[t=1450.38s] Completed batch 94 (duration: 311.09s, status: 200)
[t=1536.59s] Completed batch 91 (duration: 422.58s, status: 200)
[t=1644.46s] Completed batch 96 (duration: 500.12s, status: 200)
[t=1651.83s] Completed batch 97 (duration: 500.17s, status: 200)

============================================================
Simulation complete!
Total time: 1651.84s (scheduled: 1151.66s)
Successful: 98/98
Failed: 0/98
Summary saved to: run15/simulation_summary.json
============================================================
