Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run6
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=261.67s] Sending batch 24 (scheduled: 261.67s, size: 2)
[t=271.11s] Sending batch 25 (scheduled: 271.10s, size: 2)
[t=271.42s] Completed batch 5 (duration: 203.13s, status: 200)
[t=276.17s] Completed batch 21 (duration: 65.97s, status: 200)
[t=280.80s] Completed batch 17 (duration: 105.16s, status: 200)
[t=286.37s] Sending batch 26 (scheduled: 286.36s, size: 6)
[t=292.89s] Sending batch 27 (scheduled: 292.88s, size: 5)
[t=294.14s] Completed batch 25 (duration: 23.04s, status: 200)
[t=299.29s] Completed batch 10 (duration: 188.16s, status: 200)
[t=315.16s] Sending batch 28 (scheduled: 315.15s, size: 2)
[t=340.22s] Completed batch 20 (duration: 136.09s, status: 200)
[t=351.36s] Sending batch 29 (scheduled: 351.36s, size: 1)
[t=351.91s] Sending batch 30 (scheduled: 351.91s, size: 7)
[t=353.73s] Completed batch 24 (duration: 92.06s, status: 200)
[t=356.89s] Sending batch 31 (scheduled: 356.89s, size: 6)
[t=364.62s] Completed batch 27 (duration: 71.73s, status: 200)
[t=372.67s] Completed batch 18 (duration: 188.84s, status: 200)
[t=380.17s] Completed batch 13 (duration: 231.91s, status: 200)
[t=407.17s] Completed batch 23 (duration: 155.85s, status: 200)
[t=408.92s] Completed batch 28 (duration: 93.76s, status: 200)
[t=410.34s] Sending batch 32 (scheduled: 410.34s, size: 3)
[t=411.23s] Sending batch 33 (scheduled: 411.23s, size: 4)
[t=417.23s] Sending batch 34 (scheduled: 417.23s, size: 5)
[t=424.56s] Sending batch 35 (scheduled: 424.55s, size: 1)
[t=434.59s] Completed batch 30 (duration: 82.68s, status: 200)
[t=436.90s] Sending batch 36 (scheduled: 436.89s, size: 3)
[t=449.95s] Completed batch 35 (duration: 25.39s, status: 200)
[t=460.26s] Sending batch 37 (scheduled: 460.26s, size: 4)
[t=465.14s] Sending batch 38 (scheduled: 465.14s, size: 4)
[t=467.30s] Sending batch 39 (scheduled: 467.30s, size: 5)
[t=476.69s] Completed batch 34 (duration: 59.46s, status: 200)
[t=480.13s] Completed batch 19 (duration: 287.03s, status: 200)
[t=488.07s] Sending batch 40 (scheduled: 488.06s, size: 3)
[t=498.27s] Completed batch 26 (duration: 211.90s, status: 200)
[t=503.53s] Sending batch 41 (scheduled: 503.53s, size: 2)
[t=528.38s] Completed batch 39 (duration: 61.08s, status: 200)
[t=530.59s] Completed batch 29 (duration: 179.23s, status: 200)
[t=540.07s] Sending batch 42 (scheduled: 540.06s, size: 4)
[t=565.69s] Sending batch 43 (scheduled: 565.68s, size: 3)
[t=566.56s] Completed batch 31 (duration: 209.66s, status: 200)
[t=568.89s] Completed batch 37 (duration: 108.63s, status: 200)
[t=575.99s] Completed batch 40 (duration: 87.92s, status: 200)
[t=582.31s] Completed batch 36 (duration: 145.41s, status: 200)
[t=591.00s] Sending batch 44 (scheduled: 591.00s, size: 8)
[t=599.83s] Sending batch 45 (scheduled: 599.82s, size: 3)
[t=606.81s] Completed batch 42 (duration: 66.74s, status: 200)
[t=612.38s] Completed batch 43 (duration: 46.70s, status: 200)
[t=624.19s] Sending batch 46 (scheduled: 624.19s, size: 2)
[t=624.23s] Sending batch 47 (scheduled: 624.22s, size: 2)
[t=640.82s] Completed batch 46 (duration: 16.63s, status: 200)
[t=651.55s] Sending batch 48 (scheduled: 651.54s, size: 1)
[t=653.82s] Sending batch 49 (scheduled: 653.82s, size: 1)
[t=670.68s] Sending batch 50 (scheduled: 670.66s, size: 3)
[t=674.77s] Completed batch 49 (duration: 20.95s, status: 200)
[t=676.78s] Completed batch 32 (duration: 266.43s, status: 200)
[t=678.03s] Sending batch 51 (scheduled: 678.03s, size: 4)
[t=684.97s] Sending batch 52 (scheduled: 684.97s, size: 2)
[t=688.67s] Completed batch 41 (duration: 185.14s, status: 200)
[t=699.05s] Completed batch 47 (duration: 74.82s, status: 200)
[t=699.70s] Sending batch 53 (scheduled: 699.70s, size: 2)
[t=700.25s] Completed batch 33 (duration: 289.02s, status: 200)
[t=724.14s] Sending batch 54 (scheduled: 724.14s, size: 5)
[t=730.82s] Sending batch 55 (scheduled: 730.81s, size: 2)
[t=740.96s] Sending batch 56 (scheduled: 740.95s, size: 3)
[t=750.18s] Sending batch 57 (scheduled: 750.18s, size: 4)
[t=752.32s] Completed batch 38 (duration: 287.17s, status: 200)
[t=754.01s] Sending batch 58 (scheduled: 754.01s, size: 1)
[t=757.17s] Sending batch 59 (scheduled: 757.17s, size: 4)
[t=762.90s] Sending batch 60 (scheduled: 762.89s, size: 2)
[t=774.36s] Sending batch 61 (scheduled: 774.35s, size: 5)
[t=778.08s] Completed batch 45 (duration: 178.25s, status: 200)
[t=791.43s] Sending batch 62 (scheduled: 791.42s, size: 2)
[t=793.45s] Completed batch 57 (duration: 43.27s, status: 200)
[t=793.48s] Sending batch 63 (scheduled: 793.48s, size: 3)
[t=803.36s] Sending batch 64 (scheduled: 803.36s, size: 3)
[t=809.70s] Sending batch 65 (scheduled: 809.69s, size: 3)
[t=811.19s] Completed batch 51 (duration: 133.16s, status: 200)
[t=819.58s] Completed batch 60 (duration: 56.68s, status: 200)
[t=821.55s] Sending batch 66 (scheduled: 821.55s, size: 2)
[t=835.66s] Sending batch 67 (scheduled: 835.66s, size: 1)
[t=839.46s] Completed batch 63 (duration: 45.98s, status: 200)
[t=841.63s] Sending batch 68 (scheduled: 841.63s, size: 4)
[t=843.75s] Completed batch 52 (duration: 158.78s, status: 200)
[t=846.61s] Sending batch 69 (scheduled: 846.60s, size: 4)
[t=849.18s] Sending batch 70 (scheduled: 849.18s, size: 1)
[t=851.84s] Completed batch 67 (duration: 16.18s, status: 200)
[t=853.26s] Sending batch 71 (scheduled: 853.26s, size: 6)
[t=864.36s] Completed batch 64 (duration: 61.00s, status: 200)
[t=867.88s] Sending batch 72 (scheduled: 867.87s, size: 1)
[t=867.97s] Sending batch 73 (scheduled: 867.97s, size: 5)
[t=870.15s] Sending batch 74 (scheduled: 870.14s, size: 2)
[t=882.49s] Completed batch 62 (duration: 91.06s, status: 200)
[t=886.59s] Sending batch 75 (scheduled: 886.59s, size: 1)
[t=889.70s] Completed batch 44 (duration: 298.70s, status: 200)
[t=893.12s] Completed batch 74 (duration: 22.98s, status: 200)
[t=899.32s] Completed batch 58 (duration: 145.31s, status: 200)
[t=907.28s] Sending batch 76 (scheduled: 907.28s, size: 3)
[t=911.09s] Completed batch 70 (duration: 61.91s, status: 200)
[t=911.21s] Sending batch 77 (scheduled: 911.21s, size: 5)
[t=915.01s] Completed batch 48 (duration: 263.46s, status: 200)
[t=926.12s] Completed batch 65 (duration: 116.42s, status: 200)
[t=931.63s] Sending batch 78 (scheduled: 931.63s, size: 5)
[t=939.40s] Sending batch 79 (scheduled: 939.39s, size: 2)
[t=942.39s] Completed batch 53 (duration: 242.69s, status: 200)
[t=944.28s] Completed batch 72 (duration: 76.41s, status: 200)
[t=952.24s] Completed batch 79 (duration: 12.84s, status: 200)
[t=953.02s] Sending batch 80 (scheduled: 953.02s, size: 1)
[t=957.78s] Completed batch 66 (duration: 136.23s, status: 200)
[t=967.74s] Completed batch 80 (duration: 14.71s, status: 200)
[t=967.91s] Completed batch 61 (duration: 193.55s, status: 200)
[t=974.13s] Completed batch 73 (duration: 106.15s, status: 200)
[t=982.52s] Sending batch 81 (scheduled: 982.51s, size: 3)
[t=987.29s] Completed batch 50 (duration: 316.61s, status: 200)
[t=987.65s] Completed batch 56 (duration: 246.69s, status: 200)
[t=987.66s] Sending batch 82 (scheduled: 987.66s, size: 5)
[t=994.25s] Completed batch 75 (duration: 107.66s, status: 200)
[t=995.01s] Sending batch 83 (scheduled: 995.01s, size: 4)
[t=1003.66s] Completed batch 54 (duration: 279.52s, status: 200)
[t=1005.69s] Completed batch 55 (duration: 274.87s, status: 200)
[t=1010.09s] Completed batch 76 (duration: 102.81s, status: 200)
[t=1017.06s] Sending batch 84 (scheduled: 1017.05s, size: 3)
[t=1019.37s] Completed batch 69 (duration: 172.76s, status: 200)
[t=1024.98s] Sending batch 85 (scheduled: 1024.98s, size: 4)
[t=1039.05s] Sending batch 86 (scheduled: 1039.04s, size: 4)
[t=1040.34s] Sending batch 87 (scheduled: 1040.34s, size: 1)
[t=1066.56s] Completed batch 78 (duration: 134.93s, status: 200)
[t=1068.73s] Completed batch 59 (duration: 311.56s, status: 200)
[t=1073.72s] Completed batch 87 (duration: 33.38s, status: 200)
[t=1079.09s] Completed batch 68 (duration: 237.45s, status: 200)
[t=1080.14s] Sending batch 88 (scheduled: 1080.14s, size: 1)
[t=1092.96s] Completed batch 77 (duration: 181.75s, status: 200)
[t=1096.11s] Sending batch 89 (scheduled: 1096.10s, size: 2)
[t=1098.95s] Completed batch 84 (duration: 81.89s, status: 200)
[t=1107.20s] Sending batch 90 (scheduled: 1107.20s, size: 3)
[t=1114.02s] Sending batch 91 (scheduled: 1114.01s, size: 3)
[t=1114.97s] Sending batch 92 (scheduled: 1114.97s, size: 4)
[t=1118.79s] Sending batch 93 (scheduled: 1118.79s, size: 3)
[t=1123.21s] Completed batch 86 (duration: 84.16s, status: 200)
[t=1138.96s] Completed batch 81 (duration: 156.44s, status: 200)
[t=1139.29s] Sending batch 94 (scheduled: 1139.29s, size: 2)
[t=1140.07s] Sending batch 95 (scheduled: 1140.07s, size: 1)
[t=1144.34s] Sending batch 96 (scheduled: 1144.34s, size: 5)
[t=1151.67s] Sending batch 97 (scheduled: 1151.66s, size: 3)
[t=1153.90s] Completed batch 88 (duration: 73.76s, status: 200)
[t=1161.91s] Completed batch 83 (duration: 166.90s, status: 200)
[t=1169.30s] Completed batch 89 (duration: 73.20s, status: 200)
[t=1177.83s] Completed batch 93 (duration: 59.04s, status: 200)
[t=1181.79s] Completed batch 85 (duration: 156.81s, status: 200)
[t=1186.80s] Completed batch 92 (duration: 71.83s, status: 200)
[t=1195.38s] Completed batch 95 (duration: 55.31s, status: 200)
[t=1223.64s] Completed batch 82 (duration: 235.98s, status: 200)
[t=1226.70s] Completed batch 71 (duration: 373.44s, status: 200)
[t=1274.83s] Completed batch 94 (duration: 135.54s, status: 200)
[t=1365.12s] Completed batch 91 (duration: 251.11s, status: 200)
[t=1405.96s] Completed batch 90 (duration: 298.76s, status: 200)
[t=1463.72s] Completed batch 96 (duration: 319.38s, status: 200)
[t=1652.80s] Completed batch 97 (duration: 501.13s, status: 200)

============================================================
Simulation complete!
Total time: 1652.80s (scheduled: 1151.66s)
Successful: 98/98
Failed: 0/98
Summary saved to: run6/simulation_summary.json
============================================================
